,title,company,location,indeed_url,page_number,app_type,app_text,company_url,rank_on_page,description,stats.gender,stats.pronoun,stats.female,stats.veteran,stats.race,stats.nonbinary,stats.non-binary,stats.cisgender,stats.transgender,stats.diversity
0,Full Stack Software Engineer,Tango Card,"Seattle, WA",http://indeed.com//rc/clk?jk=f60dd7a3461b3829&fccid=54e9865f5256c653&vjs=3,1,lever,"tango card - full stack software engineer	full stack software engineer	seattle, wa	engineering – software development	full-time	submit your application	resume/cv	✱	attach resume/cv	couldn't auto-read resume.	analyzing resume...	success!	file exceeds the maximum upload size of	100mb	. please try a smaller size.	full name	✱	email	✱	phone	✱	current company	links	linkedin url	github url	other website	are you legally eligible to work in the united states?	✱	yes	no	will you now or in the future require visa sponsorship for employment at tango card?	✱	yes	no	current address:	✱	what makes you unique? try to be creative and say something that will catch our eye!	✱	what are the salary expectations for your next role?	✱	additional information	u.s. equal employment opportunity information	(completion is voluntary and will not subject you to adverse treatment)	our company values diversity. to ensure that we comply with reporting requirements and to learn more about how we can increase diversity in our candidate pool, we invite you to voluntarily provide demographic information in a confidential survey at the end of this application. providing this information is optional. it will not be accessible or used in the hiring process, and has no effect on your opportunity for employment.	gender	select ...	male	female	decline to self-identify	race	select ...	hispanic or latino	white (not hispanic or latino)	black or african american (not hispanic or latino)	native hawaiian or other pacific islander (not hispanic or latino)	asian (not hispanic or latino)	american indian or alaska native (not hispanic or latino)	two or more races (not hispanic or latino)	decline to self-identify	hispanic or latino	a person of cuban, mexican, puerto rican, south or central american, or other spanish culture or origin regardless of race.	white (not hispanic or latino)	a person having origins in any of the original peoples of europe, the middle east, or north africa.	black or african american (not hispanic or latino)	a person having origins in any of the black racial groups of africa.	native hawaiian or other pacific islander (not hispanic or latino)	a person having origins in any of the peoples of hawaii, guam, samoa, or other pacific islands.	asian (not hispanic or latino)	a person having origins in any of the original peoples of the far east, southeast asia, or the indian subcontinent, including, for example, cambodia, china, india, japan, korea, malaysia, pakistan, the philippine islands, thailand, and vietnam.	american indian or alaska native (not hispanic or latino)	a person having origins in any of the original peoples of north and south america (including central america), and who maintain tribal affiliation or community attachment.	two or more races (not hispanic or latino)	all persons who identify with more than one of the above five races.	veteran status	select ...	i am a veteran	i am not a veteran	decline to self-identify	submit application	tango card home page	jobs powered by",https://jobs.lever.co/tangocard/a4ebbd3a-dc89-45ef-99d1-6b0e3a9a99b2?lever-source=Indeed,11,,1,0,1,3,5,0,0,0,0,2
0,Software Engineer - Frontend (B),"Verte Square, LLC","Bellevue, WA",http://indeed.com//rc/clk?jk=9437cba3029fc9c1&fccid=4cfc1aeb668983ea&vjs=3,1,apply now,"software engineer - frontend (b)	verte square, llc	-	bellevue, wa us	* these fields are required	first name *	last name *	email *	phone number	resume *	choose file	no file chosen	to apply with your indeed resume,	sign in	- no resume?	create one now	add cover letter	notify me when similar jobs are available	by checking this box and clicking continue, you agree to our	terms	, and you agree to receive similar jobs via email. you can change your consent settings at any time by unsubscribing or as detailed in our terms.	below you will see questions from the employer that are part of this application.	website	by pressing continue, you will see questions from the employer that are part of this application.	continue	cancel",https://www.indeed.com/viewjob?jk=9437cba3029fc9c1&from=serp&vjs=3,12,,0,0,0,0,0,0,0,0,0,0
0,Software Engineer - Fullstack (remote),New Relic,"Seattle, WA",http://indeed.com//rc/clk?jk=9df1074f77d940c0&fccid=ade8cd847c0482cd&vjs=3,1,unknown,cannot parse,https://jobs.jobvite.com/newrelic/jobs?__jvst=Job+Board&__jvsd=Indeed,13,,0,0,0,0,0,0,0,0,0,0
0,"Software Engineer, Database Systems",Google,"Seattle, WA",http://indeed.com//rc/clk?jk=b131123f49b6c449&fccid=a5b4499d9e91a5c6&vjs=3,1,unknown,cannot parse,https://careers.google.com/jobs/results/138247929270805190-software-engineer-database-systems/?src=Online%2FJob%20Board%2Findeed&utm_campaign=freeaggr&utm_medium=jobaggr&utm_source=indeed,14,,0,0,0,0,0,0,0,0,0,0
0,Full Stack Software Engineer,Mystery,"Seattle, WA",http://indeed.com//rc/clk?jk=56489a6073ccfee2&fccid=5f0770db79f7cfe0&vjs=3,1,apply now,"full stack software engineer	mystery	-	seattle+wa	* these fields are required	name *	email *	phone number *	resume (optional)	choose file	no file chosen	to apply with your indeed resume,	sign in	- no resume?	create one now	notify me when similar jobs are available	by checking this box and clicking continue, you agree to our	terms	, and you agree to receive similar jobs via email. you can change your consent settings at any time by unsubscribing or as detailed in our terms.	below you will see questions from the employer that are part of this application.	linkedin profile url	by pressing continue, you will see questions from the employer that are part of this application.	continue	cancel",https://www.indeed.com/viewjob?jk=56489a6073ccfee2&from=serp&vjs=3,15,,0,0,0,0,0,0,0,0,0,0
0,"Front End Software Engineer, 3D Homes",Zillow Group,"Seattle, WA",http://indeed.com//rc/clk?jk=07d9ebe19f1a2b21&fccid=913e1b259c8d65e2&vjs=3,1,unknown,cannot parse,"http://careers.zillowgroup.com/ShowJob/Id/442719/Front%20End%20Software%20Engineer,%203D%20Homes",16,,0,0,0,0,0,0,0,0,0,0
0,"Engineer, Software - iOS, IoT",T-Mobile,"Bellevue, WA",http://indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0ATG-QT561I1pyQl8KLzosRSCrGy2Eh3y1IGbA_ZnmzuqzwluQxzDWgN4CToG8SNGDkkN_fIg8ud9RZon8XdrlnkTdu1TeYlfK5tRvxuMO1I09-4NAIi2n2jDgW61-doYrXlm79D09y6vdM-fcnV_LlZ3MQFIpuQHFr_Ylku-wNDvYToXyffd9NsKzECkNi9ghPrLj70RkHclYe6WnEWHYR8QR-3-yTTuRXIYkScFlAB48o5UgL2pYt1SWpwQuwfhVaWtusKGyQE6rkMTx15a0tVFqVJvVmhaqR-dB1CE1HE7NHVooQgflvEPzjcttZaNBAe3aVdj41VBiBYihqHVGAFYSq6DtCAJk-1FwM8b6KKDGWKm9aLKfEhELsiGN0wuTqEWApKSczIKAtNwxyOA66_C9p8_9mAeYajZR8_nqE-Y1x4Q1YSOmuOyRD28q0ZhgyjQRNhR2MIi8VgIIaNuVLIatVc2u7w4uTHWe8YAkb4d3WX-kJ2Exz1iACxc4xAqefpvlum-IwQRt-kFmTrI6ACY6Xh14-GhFeLee3d8B2_i2GVaVYHMQBwjBUtJSJDiNmUCKn8fIvBb-ABW1Y8GIG4h_354iRWpv7Get94xHmjEcIZ4jPoubjCsChWcV4Qcw=&p=16&fvj=0&vjs=3,1,unknown,cannot parse,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&siteid=5149&partnerid=25779&areq=143481BR&codes=INT-Indeed#jobDetails=625463_5149,17,,0,0,0,0,0,0,0,0,0,0
0,Software Developer - Front End,Tavour,"Seattle, WA",http://indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BoEy7vMKr1HNr0K_zUIxzwkP8QvRTryw8Z9eXIkpD7MwPuaxG6P_KdDrzj2ZeysLlDrLqf64td8SbzPPT5kLSu1W8LQArfft5je6rew3pUA1_KCK7oz47htJNzXzK9WB93OxIrDJbu8P12pMr2zAoNMQip5iyHGbUMAgFNDIfB8JEL53ukRwRLi3VDh7wfX2wzz7srBzRAvWaCxkJOsMm5W7ezViVFdtjlmuJTFznXvN3rsaNiluFfECigk54z2tjUfTaySYealqezlgk8MLAXuNN3DdF9f5zxrUk-yy8N04tTAMV2XJ7ostN_7FMLgjmw1AhMMiJfYbJWzdtxx15j8U5RWMk2GJ3Q_fe1nQEsVWg68eTivP3LXFhvpqIVmAb4I7EZaMm54TpxX89NYjjVulEnd_AMRuOSb5NQEvyj02jxaZ1ki_pqVuydE1S1p3r1TC_5Vma4pl2y8OeZ0DUm6_qCMX2TdB32-z09cOXywxqWsLDR-EWl7YmqUNXgpCljtGuWfpK_ryL2QJNX0a_kXwU5uL1AkfkqOuR658evZ_Ps8HPOul3SShcOBA0p4JMQ28R3mc55L1BLUZWGRG-9RbwRl5xWP_Cu8GqAE_XNLR-ryJgpTg32djdU2tD4eHg4qfaCoi-TU9pTuXsxua97lS2VoLI9uRD593-S6OBy2ddz40Mjr0Vl7WRQxL-lbOFBuK7-2G6KoZLs3-WFUJtj1ldtNnIW91s=&p=17&fvj=0&vjs=3,1,apply now,"software developer - front end	tavour	-	seattle+wa	* these fields are required	name *	email *	phone number *	resume *	choose file	no file chosen	to apply with your indeed resume,	sign in	- no resume?	create one now	notify me when similar jobs are available	by checking this box and clicking continue, you agree to our	terms	, and you agree to receive similar jobs via email. you can change your consent settings at any time by unsubscribing or as detailed in our terms.	below you will see questions from the employer that are part of this application.	address	city	state	below you will see questions from the employer that are part of this application.	postal code	are you legally authorized to work in the us for any employer?*	yes	no	will you now or in the future require tavour to commence (""sponsor"") an immigration case in order to employ you (for example, h-1b or other employment-based immigration case)?*	yes	no	below you will see questions from the employer that are part of this application.	are you located in seattle, wa?*	yes	no	tell us a little bit about yourself!	desired salary:*	by pressing continue, you will see questions from the employer that are part of this application.	continue	cancel","https://www.indeed.com/viewjob?jk=e7e869a6fbedcdee&q=software+engineer&l=Seattle,+WA&from=web&advn=7506237029934949&adid=318886948&sjdu=TPdtqmrqK8yRbNk-XTROG5Q5QU26m-unkA1ShCuHeKSNNgkXEOPGyfIkn4ep2EvY5zLo79lEgk7g2Nf8cRZYEm25e91UkLUS0X6EYT0KZCEAGQFr3dOlIJg3_QyjoQ7IVM_0JAI31dm2JSAJ-kwcaIr58SYGxku4u56ketlabZOykmankSH870GdRjT2JcmqWgxonUfQ7HRjLCVL7jHyXne0vymFQdCdS6OZOSeBZmsYxBxntPAAfx78kmzq_8GW&acatk=1e995cpovnh2e800&pub=4a1b367933fd867b19b072952f68dceb&vjs=3",18,,0,0,0,0,0,0,0,0,0,0
0,Software Engineer,Motorola Solutions,"Seattle, WA",http://indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0Dk4SAOkRj2qh8c0bq3DNnCqVpYO-iD86R3v91P7SScVpjeFmVykIb8fni_6wP90IthdTYWnkHtDUOWDEHDIBmJA-yibPuutHwVswS3HpoQu5273cemwxDwq6mQXfNtJPXNiT-KvTuLFOeCCB9gJ1z0NxCckfWexpVG6qSnDghB2PdhuCWePXuK8TLBTRxqLfSZ_MkJUOX4mv_EV1nVYl99BbJI7casmrLoMXfra1VBFYzIESX2HdxeNuGW-2Zrm9F1YbQawSXmldHSHECIPuUo55S_CX9WqOofT-McFGhNHqwaB54cnETl2iNH1SL7fRTocoJKHjwb1f-9sKlYKOz3JT8yPoWOOuAjTIvgLTbTgyWzk1-qj4ZOe0wsW8YpZ-ZN1aT29ZW4RET9m92LyVnshUXn4XChCanh1_zp9s5MQ0cJK2aCfkyklbFRSQVzF1O_iABI67eEbG5mJHg1-L9CdfezGQhw-kweCnsIWADTj2W2RLPU0bT0w7NH0mz1ZjmFj9294r5ACQy8kDCOD7rbB8gzNy8cQTIpwxKnTgcHU_eR3vZl8RFmK336ZnWtwOuZ7Ajo85VKW0T-h5EyQugayjMWDsZrwC7jhKsOC1uI0FqDMUxCAkX5z9iJlbKXvxk=&p=0&fvj=0&vjs=3,2,workday,cannot parse,https://motorolasolutions.wd5.myworkdayjobs.com/en-US/Careers/job/Seattle-Washington/Senior-Software-Engineer_R1931?source=APPLICANT_SOURCE-6-250,1,,0,0,0,0,0,0,0,0,0,0
0,Junior Mobile Developer - Xamarin,Digital Control Inc,"Kent, WA",http://indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BScoq_2QND94rO0R_0LaH73Y7yberLkOS35UAIk7gGtj4HpIRXW4Stg6or52IEjhQlf-3f1eKuM0u6is2BpOAEkQZ_pFruY_j4L2Q25-qEtI9l-w5tl7RkxPACCkVxZAOrloWe5M63go1XMBBxh8wZ8oZuxZuTv2YMSlWMoB-4OjsRDFQswSEoHHbmhx6Es579sJyaiByL7lI9xrqzu7T_nwKk5dlSf_jgsuExrrWRLC6JUdHSsXKhw6wa8M8hhYO9ZsubNNUqUY48dCfgMQKlSF5CV2Ik5jwvIb4MRnFg9cuxnECRXNkZTyRV7GYRj8DBoO8Gi2niF5GR92WMOuusMPF9TETK6JpKkXMkkx15MgR60LTr0CZQ7ag408cDttPM23esB3tD5Byky5fEWO6EFz0G-8x9i5Btmjj5rzGxeLuaFXBrfFBMmZaDZpqdQH4KyD-ES8HFmJCKJlmwa2LwLJr9ocUl_xoNpXI439Sytg==&p=1&fvj=1&vjs=3,2,apply now,"junior mobile developer - xamarin	digital control inc	-	kent, wa 98032	* these fields are required	name *	email *	phone number	resume *	choose file	no file chosen	to apply with your indeed resume,	sign in	- no resume?	create one now	attach additional documents	attach additional documents	attach additional documents	attach additional documents	attach additional documents	add cover letter	notify me when similar jobs are available	by checking this box and clicking continue, you agree to our	terms	, and you agree to receive similar jobs via email. you can change your consent settings at any time by unsubscribing or as detailed in our terms.	how many years of software engineering experience do you have? *	what is the highest level of education you have completed? *	none	high school or equivalent	associate	bachelor's	master's	doctorate	are you authorized to work in the following country: united states? *	yes	no	by pressing continue, you will see questions from the employer that are part of this application.	continue	cancel",https://www.indeed.com/viewjob?cmp=Digital-Control-Inc&t=Junior+Mobile+Developer&jk=772310130f338e53&sjdu=QwrRXKrqZ3CNX5W-O9jEvaokZOGLHVIo5tHKhzwby2wq06vCrlxUW5wCLma4I4QJlShhgYZRxnwM-VH4B5hqZ0NA7Mq2VuS4ICBM3Abmjs8&adid=344123846&pub=4a1b367933fd867b19b072952f68dceb&vjs=3,2,,0,0,0,0,0,0,0,0,0,0
